,showTypeGroupNm,showTypeNm,movieCd
0,2D,디지털,20179407
0,2D,디지털,20154909
1,2D,디지털 가치봄,20154909
0,2D,디지털,20179696
1,4D,4D,20179696
2,IMAX,IMAX,20179696
3,DOLBYCINEMA,DOLBYCINEMA,20179696
0,2D,디지털,20171022
1,2D,디지털 더빙,20171022
0,2D,디지털,20171923
0,2D,디지털,20170268
0,2D,디지털,20171090
1,4D,4D,20171090
2,DOLBYCINEMA,DOLBYCINEMA,20171090
0,2D,디지털,20177541
0,2D,디지털,20170607
0,2D,디지털,20174142
1,2D,디지털 영문자막,20174142
2,2D,디지털 가치봄,20174142
0,2D,디지털,20173945
0,2D,디지털,20168241
0,2D,디지털,20175222
1,4D,4D,20175222
2,IMAX,IMAX,20175222
0,2D,디지털,20172142
1,2D,디지털 더빙,20172142
0,2D,디지털,20170364
1,2D,디지털 더빙,20170364
2,3D,3D 디지털,20170364
3,3D,3D 더빙,20170364
0,2D,디지털,20172627
1,2D,디지털 더빙,20172627
0,2D,디지털,20166132
0,2D,디지털,20165450
1,2D,디지털 영문자막,20165450
2,2D,디지털 가치봄,20165450
0,2D,디지털,20172742
0,2D,디지털,20171817
1,2D,디지털 더빙,20171817
2,4D,4D 더빙,20171817
3,4D,4D,20171817
0,2D,디지털,20170964
1,2D,디지털 더빙,20170964
0,2D,디지털,20168282
1,IMAX,IMAX,20168282
2,DOLBYCINEMA,DOLBYCINEMA,20168282
0,2D,디지털,20154907
1,2D,디지털 가치봄,20154907
0,2D,디지털,20176767
0,2D,디지털,20173694
1,3D,3D 디지털,20173694
2,4D,4D,20173694
3,IMAX,IMAX 3D,20173694
0,2D,디지털,20164424
0,2D,디지털,20173806
1,4D,4D,20173806
0,2D,디지털,20175121
1,4D,4D,20175121
2,IMAX,IMAX,20175121
0,2D,디지털,20171024
0,2D,디지털,20175208
0,2D,디지털 더빙,20174103
0,2D,디지털,20172603
0,2D,디지털,20169643
0,2D,디지털,20173724
0,2D,디지털,20174902
1,2D,디지털 더빙,20174902
0,2D,디지털,20173612
0,2D,디지털,20174622
0,2D,디지털,20161681
0,2D,디지털,20175441
1,2D,디지털 가치봄,20175441
0,2D,디지털,20179942
0,2D,디지털 더빙,20175244
0,2D,디지털,20168221
1,3D,3D 디지털,20168221
2,4D,4D,20168221
3,IMAX,IMAX,20168221
4,IMAX,IMAX 3D,20168221
0,2D,디지털,20168754
0,2D,디지털,20165748
1,2D,디지털 가치봄,20165748
0,2D,디지털 더빙,20175223
0,2D,디지털 더빙,20175288
0,2D,디지털,20173903
0,2D,디지털,20173581
0,2D,디지털,20178581
0,2D,디지털,20161762
1,2D,디지털 가치봄,20161762
0,2D,디지털,20174846
0,2D,디지털,20174585
1,2D,디지털 더빙,20174585
0,2D,디지털,20173693
0,2D,디지털,20170402
0,2D,디지털,20170443
1,3D,3D 디지털,20170443
2,4D,4D,20170443
3,IMAX,IMAX,20170443
4,IMAX,IMAX 3D,20170443
0,2D,디지털 더빙,20176367
0,2D,디지털,20175481
0,2D,디지털,20150976
1,2D,디지털 영문자막,20150976
2,2D,디지털 가치봄,20150976
3,4D,4D,20150976
0,2D,디지털,20179462
0,2D,디지털,20174965
1,2D,디지털 더빙,20174965
0,2D,디지털,20176082
1,2D,디지털 더빙,20176082
0,2D,디지털,20176022
1,2D,디지털 더빙,20176022
0,2D,디지털,20170590
1,2D,디지털 영문자막,20170590
2,2D,디지털 가치봄,20170590
0,2D,디지털,20176947
1,2D,디지털 가치봄,20176947
0,2D,디지털 더빙,20177479
0,2D,디지털,20171909
1,3D,3D 디지털,20171909
2,4D,4D,20171909
3,IMAX,IMAX 3D,20171909
0,2D,디지털,20177104
1,2D,디지털 더빙,20177104
2,3D,3D 디지털,20177104
3,3D,3D 더빙,20177104
4,4D,4D 더빙,20177104
5,4D,4D,20177104
0,2D,디지털,20179985
1,2D,디지털 더빙,20179985
2,4D,4D 더빙,20179985
3,4D,4D,20179985
4,IMAX,IMAX,20179985
5,DOLBYCINEMA,DOLBYCINEMA,20179985
0,2D,디지털,20173547
0,2D,디지털,20177602
0,2D,디지털,20175054
1,4D,4D,20175054
2,IMAX,IMAX,20175054
0,2D,디지털,20176104
1,2D,디지털 가치봄,20176104
0,2D,디지털,20173662
1,2D,디지털 더빙,20173662
0,2D,디지털,20189525
0,2D,디지털,20178230
0,2D,디지털,20168161
1,2D,디지털 가치봄,20168161
0,2D,디지털,20178444
1,2D,디지털 더빙,20178444
0,2D,디지털,20177473
1,2D,디지털 가치봄,20177473
0,2D,디지털,20168323
1,4D,4D,20168323
2,ScreenX,ScreenX,20168323
0,2D,디지털,20178126
0,2D,디지털,20178395
1,IMAX,IMAX,20178395
0,2D,디지털 더빙,20179228
0,2D,디지털,20178469
0,2D,디지털,20179205
1,4D,4D,20179205
0,2D,디지털,20178672
1,2D,디지털 더빙,20178672
0,2D,디지털,20189901
0,2D,디지털,20170561
1,3D,3D 디지털,20170561
2,4D,4D,20170561
3,IMAX,IMAX,20170561
4,IMAX,IMAX 3D,20170561
0,2D,디지털,20168250
1,2D,디지털 가치봄,20168250
0,2D,디지털,20176121
0,필름,필름,20078561
1,2D,디지털,20078561
2,2D,디지털 더빙,20078561
0,2D,디지털,20177946
0,2D,디지털,20173436
0,2D,디지털,20180542
0,2D,디지털,20150969
0,2D,디지털,20170841
0,2D,디지털,20179731
0,2D,디지털,20180341
0,2D,디지털,20189663
1,2D,디지털 가치봄,20189663
0,2D,디지털,20189861
0,2D,디지털,20178781
0,2D,디지털,20180564
1,3D,3D 디지털,20180564
2,4D,4D,20180564
3,IMAX,IMAX,20180564
4,IMAX,IMAX 3D,20180564
0,2D,디지털,20176070
0,2D,디지털,20178490
0,2D,디지털,20170669
0,2D,디지털,20180302
1,4D,4D,20180302
0,2D,디지털,20172244
0,2D,디지털,20178449
0,2D,디지털,20174603
1,3D,3D 디지털,20174603
2,4D,4D,20174603
3,IMAX,IMAX,20174603
4,IMAX,IMAX 3D,20174603
0,2D,디지털,20180804
0,2D,디지털,20181366
0,2D,디지털,20178522
0,2D,디지털,20173962
1,2D,디지털 영문자막,20173962
0,2D,디지털,20171122
1,3D,3D 디지털,20171122
2,4D,4D,20171122
3,IMAX,IMAX 3D,20171122
0,2D,디지털,20154908
1,2D,디지털 가치봄,20154908
0,2D,디지털,20181621
0,2D,디지털,20153447
0,2D,디지털,20181561
0,2D,디지털,20182021
0,2D,디지털,20178424
0,2D,디지털,20181788
0,2D,디지털,20176917
1,3D,3D 디지털,20176917
2,4D,4D,20176917
3,IMAX,IMAX 3D,20176917
4,ScreenX,ScreenX,20176917
0,2D,디지털,20182352
1,2D,디지털 가치봄,20182352
0,2D,디지털,20165045
1,2D,디지털 가치봄,20165045
0,2D,디지털,20182221
0,2D,디지털,20177266
1,2D,디지털 가치봄,20177266
0,2D,디지털 더빙,20182360
0,2D,디지털,20182701
0,2D,디지털,20177478
1,3D,3D 디지털,20177478
2,4D,4D,20177478
3,IMAX,IMAX,20177478
4,IMAX,IMAX 3D,20177478
0,2D,디지털,20167007
0,2D,디지털 더빙,20183195
0,2D,디지털,20182561
0,2D,디지털 더빙,20182990
0,2D,디지털,20189783
1,2D,디지털 가치봄,20189783
0,2D,디지털,20182984
1,2D,디지털 더빙,20182984
0,2D,디지털 더빙,20182989
0,2D,디지털,20182385
1,2D,디지털 더빙,20182385
0,2D,디지털,20177005
0,2D,디지털,20176069
0,2D,디지털,20137352
0,2D,디지털,20183083
0,2D,디지털,20176067
0,2D,디지털,20176848
1,4D,4D,20176848
2,IMAX,IMAX,20176848
0,2D,디지털,20173202
0,2D,디지털 더빙,20183084
0,2D,디지털,20182046
0,2D,디지털,20183321
1,2D,디지털 더빙,20183321
0,2D,디지털,20183741
1,2D,디지털 더빙,20183741
0,2D,디지털,20179383
1,2D,디지털 가치봄,20179383
0,2D,디지털,20180789
1,IMAX,IMAX,20180789
0,2D,디지털,20183801
0,2D,디지털 더빙,20184513
0,2D,디지털,20173865
0,2D,디지털,20176053
0,2D,디지털 더빙,20180943
0,2D,디지털,20179086
1,3D,3D 디지털,20179086
2,4D,4D,20179086
3,IMAX,IMAX 3D,20179086
0,2D,디지털,20184801
0,2D,디지털,20185081
0,2D,디지털,20135305
1,2D,디지털 더빙,20135305
2,4D,4D 더빙,20135305
0,2D,디지털,20184261
1,2D,디지털 더빙,20184261
0,2D,디지털,20178161
1,2D,디지털 가치봄,20178161
0,2D,디지털,20184903
0,2D,디지털,20184512
1,2D,디지털 더빙,20184512
0,2D,디지털,20184699
0,2D,디지털,20184845
0,2D,디지털,20184101
0,2D,디지털,20184689
0,2D,디지털 더빙,20185648
0,2D,디지털,20185341
0,2D,디지털,20172469
1,2D,디지털 영문자막,20172469
2,2D,디지털 가치봄,20172469
0,2D,디지털,20184721
0,2D,디지털,20185001
1,2D,디지털 더빙,20185001
0,2D,디지털,20180522
1,3D,3D 디지털,20180522
2,4D,4D,20180522
3,IMAX,IMAX,20180522
4,IMAX,IMAX 3D,20180522
0,2D,디지털,20174369
1,2D,디지털 가치봄,20174369
0,2D,디지털,20181443
0,필름,필름,20180282
1,2D,디지털,20180282
0,2D,디지털,20175221
0,2D,디지털,20182564
0,2D,디지털,20183361
1,2D,디지털 더빙,20183361
2,3D,3D 디지털,20183361
3,3D,3D 더빙,20183361
4,4D,4D 더빙,20183361
5,4D,4D,20183361
6,IMAX,IMAX,20183361
0,2D,디지털,20188042
0,2D,디지털,20185621
0,2D,디지털,20186001
0,2D,디지털,20186282
0,2D,디지털,20181181
1,3D,3D 디지털,20181181
2,4D,4D,20181181
3,IMAX,IMAX,20181181
0,2D,디지털,20170942
1,2D,디지털 가치봄,20170942
0,2D,디지털,20185242
0,2D,디지털,20186121
0,필름,필름,20110027
1,2D,디지털,20110027
0,2D,디지털,20186202
1,2D,디지털 영문자막,20186202
2,2D,디지털 가치봄,20186202
3,4D,4D,20186202
4,IMAX,IMAX,20186202
0,2D,디지털,20186501
0,2D,디지털,20181942
1,IMAX,IMAX,20181942
0,2D,디지털,20179044
0,2D,디지털,20179101
1,2D,디지털 가치봄,20179101
0,2D,디지털,20184802
1,2D,디지털 더빙,20184802
2,4D,4D 더빙,20184802
3,4D,4D,20184802
0,2D,디지털,20187427
1,2D,디지털 더빙,20187427
2,4D,4D,20187427
0,2D,디지털,20170670
1,2D,디지털 가치봄,20170670
0,2D,디지털,20183584
1,3D,3D 디지털,20183584
2,4D,4D,20183584
3,IMAX,IMAX,20183584
4,IMAX,IMAX 3D,20183584
5,ScreenX,ScreenX,20183584
0,2D,디지털 더빙,20187641
0,2D,디지털,20153446
0,2D,디지털,20187647
1,4D,4D,20187647
0,2D,디지털,20187657
0,2D,디지털,20185046
0,2D,디지털,20177537
0,2D,디지털,20189362
0,2D,디지털,20189261
0,2D,디지털,20188446
1,2D,디지털 더빙,20188446
0,2D,디지털,20156554
1,2D,디지털 가치봄,20156554
2,4D,4D,20156554
0,2D,디지털,20188581
1,4D,4D,20188581
2,IMAX,IMAX,20188581
0,2D,디지털,20188342
1,2D,디지털 더빙,20188342
0,2D,디지털,20176122
1,2D,디지털 가치봄,20176122
2,4D,4D,20176122
0,2D,디지털,20172204
1,2D,디지털 영문자막,20172204
2,2D,디지털 가치봄,20172204
0,2D,디지털,20177308
1,2D,디지털 영문자막,20177308
0,2D,디지털,20189262
1,4D,4D,20189262
2,ScreenX,ScreenX,20189262
0,2D,디지털,20188304
1,2D,디지털 더빙,20188304
0,2D,디지털,20189268
1,2D,디지털 더빙,20189268
0,2D,디지털 더빙,20180167
0,2D,디지털,20189746
0,2D,디지털,20167903
0,2D,디지털,20189743
0,2D,디지털,20177221
1,4D,4D,20177221
2,IMAX,IMAX,20177221
0,2D,디지털,20179189
1,2D,디지털 가치봄,20179189
0,2D,디지털,20189123
0,2D,디지털,20189462
1,2D,디지털 더빙,20189462
0,2D,디지털,20189067
0,2D,디지털,20180523
1,DOLBYCINEMA,DOLBYCINEMA,20180523
0,2D,디지털 더빙,20180770
0,2D,디지털,20181262
0,2D,디지털,20188661
0,2D,디지털,20180624
0,2D,디지털,20186321
1,4D,4D,20186321
2,IMAX,IMAX,20186321
0,2D,디지털,20184678
0,2D,디지털,20187521
1,2D,디지털 더빙,20187521
0,2D,디지털,20180628
0,2D,디지털,20174981
1,2D,디지털 가치봄,20174981
2,4D,4D,20174981
0,2D,디지털,20182403
0,필름,필름,20010291
1,2D,디지털,20010291
2,4D,4D,20010291
0,2D,디지털,20177538
1,2D,디지털 영문자막,20177538
2,2D,디지털 가치봄,20177538
0,2D,디지털,20181669
1,2D,디지털 더빙,20181669
0,2D,디지털,20185485
1,IMAX,IMAX,20185485
2,ScreenX,ScreenX,20185485
0,2D,디지털,20181404
1,4D,4D,20181404
0,2D,디지털,20180987
0,2D,디지털,20181171
0,2D,디지털,20170513
0,2D,디지털,20179006
0,2D,디지털,20183063
1,2D,디지털 더빙,20183063
0,2D,디지털,20182693
0,2D,디지털,20176814
1,2D,디지털 더빙,20176814
2,3D,3D 디지털,20176814
3,4D,4D,20176814
4,IMAX,IMAX,20176814
5,IMAX,IMAX 3D,20176814
6,ScreenX,ScreenX,20176814
0,2D,디지털,20183050
0,2D,디지털,20184481
0,2D,디지털,20182935
0,2D,디지털,20186822
0,2D,디지털 더빙,20183009
0,2D,디지털,20183073
0,2D,디지털 더빙,20183043
0,2D,디지털,20182669
0,2D,디지털,20177552
1,2D,디지털 가치봄,20177552
0,2D,디지털,20181905
1,4D,4D,20181905
0,2D,디지털 더빙,20182966
0,2D,디지털,20183007
0,2D,디지털,20179230
1,2D,디지털 가치봄,20179230
0,2D,디지털,20189843
1,4D,4D,20189843
0,2D,디지털,20178825
1,3D,3D 디지털,20178825
2,4D,4D,20178825
3,IMAX,IMAX,20178825
0,2D,디지털,20183745
0,2D,디지털,20183650
0,2D,디지털,20183288
0,2D,디지털,20183238
1,4D,4D,20183238
2,IMAX,IMAX 3D,20183238
3,DOLBYCINEMA,DOLBYCINEMA,20183238
0,2D,디지털,20175547
1,2D,디지털 가치봄,20175547
0,2D,디지털,20182082
0,2D,디지털,20183685
1,2D,디지털 더빙,20183685
0,2D,디지털,20180290
1,3D,3D 디지털,20180290
2,4D,4D,20180290
3,IMAX,IMAX,20180290
4,IMAX,IMAX 3D,20180290
5,ScreenX,ScreenX,20180290
6,DOLBYCINEMA,DOLBYCINEMA,20180290
0,2D,디지털,20168773
0,2D,디지털,20182421
1,2D,디지털 더빙,20182421
2,3D,3D 더빙,20182421
3,4D,4D 더빙,20182421
4,4D,4D,20182421
0,2D,디지털 더빙,20183479
0,2D,디지털,20183375
1,2D,디지털 더빙,20183375
0,2D,디지털,20170658
0,2D,디지털,20186281
1,4D,4D,20186281
2,IMAX,IMAX,20186281
0,2D,디지털,20183785
1,3D,3D 디지털,20183785
2,ScreenX,ScreenX,20183785
0,2D,디지털,20189463
1,2D,디지털 더빙,20189463
2,3D,3D 디지털,20189463
3,3D,3D 더빙,20189463
4,4D,4D 더빙,20189463
5,4D,4D,20189463
6,IMAX,IMAX,20189463
0,2D,디지털,20184105
1,2D,디지털 영문자막,20184105
2,2D,디지털 가치봄,20184105
0,2D,디지털,20184187
0,2D,디지털,20176251
1,2D,디지털 가치봄,20176251
2,2D,디지털 중국어자막,20176251
0,2D,디지털,20183915
0,2D,디지털,20184574
0,2D,디지털,20182544
1,IMAX,IMAX,20182544
0,2D,디지털,20186324
1,ScreenX,ScreenX,20186324
0,2D,디지털,20182588
1,2D,디지털 더빙,20182588
0,2D,디지털,20182044
1,2D,디지털 더빙,20182044
0,2D,디지털,20182530
1,2D,디지털 영문자막,20182530
2,2D,디지털 가치봄,20182530
0,2D,디지털,20185124
1,4D,4D,20185124
2,ScreenX,ScreenX,20185124
0,2D,디지털,20189385
1,2D,디지털 더빙,20189385
0,2D,디지털,20180868
1,4D,4D,20180868
0,2D,디지털,20186261
1,2D,디지털 더빙,20186261
2,3D,3D 디지털,20186261
3,3D,3D 더빙,20186261
4,4D,4D 더빙,20186261
5,4D,4D,20186261
6,IMAX,IMAX,20186261
0,2D,디지털,20185478
0,2D,디지털,20184896
0,2D,디지털,20188282
1,3D,3D 디지털,20188282
2,4D,4D,20188282
3,IMAX,IMAX 3D,20188282
4,ScreenX,ScreenX,20188282
0,2D,디지털,20185881
1,2D,디지털 영문자막,20185881
2,2D,디지털 가치봄,20185881
0,2D,디지털,20185444
1,2D,디지털 더빙,20185444
2,4D,4D 더빙,20185444
3,4D,4D,20185444
0,2D,디지털,20195915
0,2D,디지털,20174169
0,2D,디지털,20184888
1,2D,디지털 더빙,20184888
0,2D,디지털,20162003
0,2D,디지털,20195984
1,4D,4D,20195984
0,2D,디지털,20177539
1,2D,디지털 영문자막,20177539
0,2D,디지털 더빙,20195743
0,필름,필름,20020222
1,2D,디지털,20020222
2,4D,4D,20020222
0,2D,디지털,20185576
0,2D,디지털,20196601
1,2D,디지털 영문자막,20196601
2,2D,디지털 가치봄,20196601
0,2D,디지털,20176442
0,2D,디지털,20195791
0,2D,디지털,20180937
0,2D,디지털,20181877
1,3D,3D 디지털,20181877
2,4D,4D,20181877
3,IMAX,IMAX,20181877
4,ScreenX,ScreenX,20181877
0,2D,디지털 더빙,20177282
0,2D,디지털,20196323
0,2D,디지털,20197283
0,2D,디지털,20176103
1,2D,디지털 가치봄,20176103
0,2D,디지털,20197356
0,2D,디지털 더빙,20196723
0,2D,디지털,20197846
0,2D,디지털,20175407
0,2D,디지털,20197617
1,2D,디지털 더빙,20197617
0,2D,디지털,20198603
1,4D,4D,20198603
0,2D,디지털,20183773
0,2D,디지털,20185352
1,IMAX,IMAX,20185352
0,2D,디지털,20196025
1,2D,디지털 더빙,20196025
2,4D,4D 더빙,20196025
3,4D,4D,20196025
4,IMAX,IMAX,20196025
5,IMAX,IMAX 더빙,20196025
0,2D,디지털,20166301
0,2D,디지털,20198146
0,2D,디지털,20197987
0,2D,디지털,20196244
1,3D,3D 디지털,20196244
2,4D,4D,20196244
3,IMAX,IMAX,20196244
4,IMAX,IMAX 3D,20196244
5,ScreenX,ScreenX,20196244
0,2D,디지털,20183096
1,2D,디지털 영문자막,20183096
0,2D,디지털,20197092
1,2D,디지털 가치봄,20197092
0,2D,디지털 더빙,20198023
0,2D,디지털,20185406
1,4D,4D,20185406
0,2D,디지털,20180825
1,2D,디지털 가치봄,20180825
0,2D,디지털,20198104
0,2D,디지털,20197423
1,4D,4D,20197423
0,2D,디지털,20198844
0,2D,디지털,20198403
0,2D,디지털,20183454
1,4D,4D,20183454
2,IMAX,IMAX,20183454
3,ScreenX,ScreenX,20183454
0,2D,디지털,20198982
0,2D,디지털,20182501
0,필름,필름,19990220
1,2D,디지털,19990220
0,2D,디지털,20184889
1,3D,3D 디지털,20184889
2,4D,4D,20184889
3,IMAX,IMAX,20184889
4,IMAX,IMAX 3D,20184889
0,2D,디지털,20198183
0,2D,디지털,20169323
0,2D,디지털,20185784
1,2D,디지털 가치봄,20185784
2,2D,디지털 중국어자막,20185784
0,2D,디지털,20198598
1,2D,디지털 더빙,20198598
2,3D,3D 디지털,20198598
3,4D,4D,20198598
4,IMAX,IMAX,20198598
5,IMAX,IMAX 3D,20198598
6,ScreenX,ScreenX,20198598
0,2D,디지털,20197147
1,2D,디지털 더빙,20197147
0,2D,디지털,20199736
1,2D,디지털 더빙,20199736
0,2D,디지털,20199189
0,2D,디지털,20184082
1,2D,디지털 가치봄,20184082
0,2D,디지털,20185384
0,2D,디지털,20187981
0,2D,디지털,20199923
0,2D,디지털,20199949
0,2D,디지털,20199623
0,2D,디지털,20188941
1,2D,디지털 가치봄,20188941
0,2D,디지털,20198597
0,2D,디지털,20197503
0,2D,디지털,20183867
1,2D,디지털 더빙,20183867
2,3D,3D 디지털,20183867
3,3D,3D 더빙,20183867
4,4D,4D 더빙,20183867
5,4D,4D,20183867
6,IMAX,IMAX,20183867
7,IMAX,IMAX 더빙,20183867
8,IMAX,IMAX 3D,20183867
9,IMAX,IMAX 3D 더빙,20183867
10,DOLBYCINEMA,DOLBYCINEMA,20183867
0,2D,디지털,20199448
0,2D,디지털,20199822
0,2D,디지털,20190261
1,2D,디지털 더빙,20190261
0,2D,디지털,20183782
1,2D,디지털 영문자막,20183782
2,2D,디지털 가치봄,20183782
3,IMAX,IMAX,20183782
4,흑백판,흑백판,20183782
0,2D,디지털,20184865
1,3D,3D 디지털,20184865
2,4D,4D,20184865
3,IMAX,IMAX,20184865
4,IMAX,IMAX 3D,20184865
5,ScreenX,ScreenX,20184865
0,2D,디지털,20188144
0,2D,디지털,20192001
1,2D,디지털 더빙,20192001
0,2D,디지털,20182387
1,3D,3D 디지털,20182387
2,4D,4D,20182387
3,IMAX,IMAX,20182387
4,IMAX,IMAX 3D,20182387
0,필름,필름,19880001
1,2D,디지털,19880001
2,2D,디지털 더빙,19880001
0,2D,디지털,20198291
0,2D,디지털,20199063
1,2D,디지털 더빙,20199063
0,2D,디지털,20196657
1,4D,4D,20196657
2,IMAX,IMAX,20196657
0,2D,디지털,20190273
1,2D,디지털 더빙,20190273
0,2D,디지털,20191401
0,2D,디지털,20190466
0,2D,디지털,20184047
1,2D,디지털 더빙,20184047
2,3D,3D 디지털,20184047
3,3D,3D 더빙,20184047
4,4D,4D 더빙,20184047
5,4D,4D,20184047
6,IMAX,IMAX,20184047
0,2D,디지털,20198453
1,2D,디지털 가치봄,20198453
