,showTypeGroupNm,showTypeNm,movieCd
0,2D,디지털,20192206
1,2D,디지털 영문자막,20192206
2,2D,디지털 가치봄,20192206
3,4D,4D,20192206
0,2D,디지털,20184571
1,2D,디지털 영문자막,20184571
0,2D,디지털,20196272
0,2D,디지털,20198414
1,2D,디지털 영문자막,20198414
2,2D,디지털 가치봄,20198414
0,2D,디지털,20197803
1,2D,디지털 더빙,20197803
2,3D,3D 디지털,20197803
3,3D,3D 더빙,20197803
4,4D,4D 더빙,20197803
5,4D,4D,20197803
6,IMAX,IMAX,20197803
7,IMAX,IMAX 3D,20197803
8,DOLBYCINEMA,DOLBYCINEMA,20197803
0,2D,디지털,20198374
1,4D,4D,20198374
0,2D,디지털,20192401
1,4D,4D,20192401
2,IMAX,IMAX,20192401
3,ScreenX,ScreenX,20192401
4,DOLBYCINEMA,DOLBYCINEMA,20192401
0,2D,디지털,20191408
0,2D,디지털,20198430
0,2D,디지털,20199981
1,2D,디지털 더빙,20199981
0,2D,디지털,20199581
1,2D,디지털 더빙,20199581
2,4D,4D,20199581
0,2D,디지털,20195462
1,3D,3D 디지털,20195462
2,4D,4D,20195462
3,IMAX,IMAX,20195462
4,IMAX,IMAX 3D,20195462
0,2D,디지털,20183002
1,2D,디지털 영문자막,20183002
0,2D,디지털,20196670
1,4D,4D,20196670
2,IMAX,IMAX,20196670
3,ScreenX,ScreenX,20196670
0,2D,디지털,20198676
0,2D,디지털,20180939
1,2D,디지털 가치봄,20180939
0,2D,디지털,20192101
1,2D,디지털 가치봄,20192101
0,2D,디지털,20188421
0,2D,디지털,20192300
1,2D,디지털 더빙,20192300
2,4D,4D 더빙,20192300
3,4D,4D,20192300
0,2D,디지털,20192604
1,2D,디지털 더빙,20192604
0,필름,필름,20100312
1,2D,디지털,20100312
2,4D,4D,20100312
3,IMAX,IMAX,20100312
0,2D,디지털,20182447
0,2D,디지털,20198431
1,4D,4D,20198431
2,IMAX,IMAX,20198431
3,ScreenX,ScreenX,20198431
0,2D,디지털,20192984
0,2D,디지털,20197390
0,2D,디지털,20191109
0,2D,디지털,20193321
0,2D,디지털,20192240
0,2D,디지털,20183782
1,2D,디지털 영문자막,20183782
2,2D,디지털 가치봄,20183782
3,IMAX,IMAX,20183782
4,흑백판,흑백판,20183782
0,2D,디지털,20184891
1,2D,디지털 더빙,20184891
2,4D,4D 더빙,20184891
3,4D,4D,20184891
0,2D,디지털,20180962
0,2D,디지털,20192399
1,4D,4D,20192399
2,IMAX,IMAX,20192399
3,DOLBYCINEMA,DOLBYCINEMA,20192399
0,2D,디지털,20193911
0,2D,디지털,20193288
1,2D,디지털 더빙,20193288
0,2D,디지털,20199842
1,IMAX,IMAX,20199842
0,2D,디지털,20193526
0,필름,필름,20040598
1,2D,디지털,20040598
2,4D,4D,20040598
0,2D,디지털,20204681
0,2D,디지털,20190864
0,필름,필름,20135428
1,2D,디지털,20135428
0,2D,디지털,20204791
0,2D,디지털,20180523
1,DOLBYCINEMA,DOLBYCINEMA,20180523
0,필름,필름,20010238
1,2D,디지털,20010238
0,2D,디지털,20205096
0,2D,디지털,20167542
1,4D,4D,20167542
2,IMAX,IMAX,20167542
3,DOLBYCINEMA,DOLBYCINEMA,20167542
0,2D,디지털,20204107
0,2D,디지털,20205708
0,2D,디지털,20167904
1,IMAX,IMAX,20167904
2,DOLBYCINEMA,DOLBYCINEMA,20167904
0,2D,디지털,20190280
1,2D,디지털 더빙,20190280
2,2D,디지털 4K,20190280
3,4D,4D,20190280
4,IMAX,IMAX,20190280
0,2D,디지털,20206424
0,필름,필름,20090528
1,2D,디지털,20090528
0,2D,디지털,20205262
0,2D,디지털,20205841
0,2D,디지털,20206446
0,2D,디지털,20206402
0,2D,디지털,20205902
0,2D,디지털,20176767
0,2D,디지털,20206190
0,2D,디지털,20206021
0,2D,디지털,20204741
0,2D,디지털,20196716
0,2D,디지털,20206447
0,2D,디지털,20161827
1,4D,4D,20161827
2,IMAX,IMAX,20161827
0,필름,필름,20124721
1,2D,디지털,20124721
2,3D,3D 디지털,20124721
3,4D,4D,20124721
4,IMAX,IMAX 3D,20124721
0,필름,필름,20148493
1,2D,디지털,20148493
2,3D,3D 디지털,20148493
3,4D,4D,20148493
4,IMAX,IMAX 3D,20148493
0,2D,디지털,20206865
0,필름,필름,19888010
1,2D,디지털,19888010
2,2D,디지털 4K,19888010
0,2D,디지털,20205402
1,2D,디지털 더빙,20205402
0,2D,디지털,20197397
0,2D,디지털,20181685
0,2D,디지털,20173226
0,2D,디지털,20207722
0,2D,디지털,20184889
1,3D,3D 디지털,20184889
2,4D,4D,20184889
3,IMAX,IMAX,20184889
4,IMAX,IMAX 3D,20184889
0,2D,디지털,20206441
0,2D,디지털,20177478
1,3D,3D 디지털,20177478
2,4D,4D,20177478
3,IMAX,IMAX,20177478
4,IMAX,IMAX 3D,20177478
0,2D,디지털,20207341
0,2D,디지털,20207893
0,2D,디지털,20208282
0,2D,디지털,20208686
0,필름,필름,20113252
1,2D,디지털,20113252
0,2D,디지털,20204501
0,2D,디지털,20208562
0,2D,디지털,20179462
0,2D,디지털,20208122
0,2D,디지털,20189987
0,2D,디지털,20208663
0,2D,디지털,20209161
0,2D,디지털,20207501
0,2D,디지털,20208264
0,2D,디지털,20196782
1,2D,디지털 영문자막,20196782
0,2D,디지털,20209029
0,2D,디지털,20197863
1,2D,디지털 가치봄,20197863
0,필름,필름,20144741
1,2D,디지털,20144741
2,3D,3D 디지털,20144741
3,4D,4D,20144741
4,IMAX,IMAX 3D,20144741
0,2D,디지털,20190461
0,2D,디지털,20203921
1,2D,디지털 더빙,20203921
0,필름,필름,20128386
1,2D,디지털,20128386
2,3D,3D 디지털,20128386
3,4D,4D,20128386
4,IMAX,IMAX 3D,20128386
0,2D,디지털,20183813
1,2D,디지털 가치봄,20183813
0,2D,디지털,20205481
0,2D,디지털,20209463
0,2D,디지털,20198890
1,4D,4D,20198890
2,ScreenX,ScreenX,20198890
0,2D,디지털,20178522
0,2D,디지털,20188124
0,2D,디지털,20191048
1,2D,디지털 더빙,20191048
2,4D,4D 더빙,20191048
3,4D,4D,20191048
4,IMAX,IMAX,20191048
0,2D,디지털,20193859
0,2D,디지털,20196702
0,2D,디지털,20184842
0,2D,디지털,20193069
1,2D,디지털 가치봄,20193069
2,4D,4D,20193069
0,필름,필름,20050112
1,2D,디지털,20050112
2,4D,4D,20050112
3,IMAX,IMAX,20050112
0,2D,디지털,20209644
0,필름,필름,20090161
1,2D,디지털,20090161
0,2D,디지털,20196201
1,2D,디지털 영문자막,20196201
0,필름,필름,20081056
1,2D,디지털,20081056
2,2D,디지털 4K,20081056
3,4D,4D,20081056
4,IMAX,IMAX,20081056
0,2D,디지털,20208617
0,2D,디지털,20200361
0,2D,디지털,20200836
0,2D,디지털,20204644
0,필름,필름,20112703
1,2D,디지털,20112703
2,4D,4D,20112703
3,IMAX,IMAX,20112703
0,2D,디지털,20200162
0,2D,디지털,20201421
0,필름,필름,20112561
1,2D,디지털,20112561
0,2D,디지털,20208182
0,2D,디지털,20193450
1,2D,디지털 영문자막,20193450
2,4D,4D,20193450
3,IMAX,IMAX,20193450
4,ScreenX,ScreenX,20193450
0,2D,디지털,20200845
0,2D,디지털,20188364
1,2D,디지털 더빙,20188364
0,2D,디지털,20209961
1,2D,디지털 더빙,20209961
0,2D,디지털,20183867
1,2D,디지털 더빙,20183867
2,3D,3D 디지털,20183867
3,3D,3D 더빙,20183867
4,4D,4D 더빙,20183867
5,4D,4D,20183867
6,IMAX,IMAX,20183867
7,IMAX,IMAX 더빙,20183867
8,IMAX,IMAX 3D,20183867
9,IMAX,IMAX 3D 더빙,20183867
10,DOLBYCINEMA,DOLBYCINEMA,20183867
0,2D,디지털,20200749
0,2D,디지털,20201265
0,2D,디지털,20209882
0,2D,디지털,20192522
1,2D,디지털 더빙,20192522
0,2D,디지털,20196271
1,4D,4D,20196271
0,2D,디지털,20200491
1,2D,디지털 더빙,20200491
0,2D,디지털,20173901
0,2D,디지털,20209107
0,2D,디지털,20197922
1,2D,디지털 영문자막,20197922
0,2D,디지털,20201287
1,2D,디지털 더빙,20201287
0,2D,디지털,20164721
1,2D,디지털 더빙,20164721
2,3D,3D 디지털,20164721
3,3D,3D 더빙,20164721
4,4D,4D 더빙,20164721
5,4D,4D,20164721
6,IMAX,IMAX,20164721
7,IMAX,IMAX 3D,20164721
0,2D,디지털,20199883
1,4D,4D,20199883
0,2D,디지털,20188362
1,2D,디지털 더빙,20188362
0,2D,디지털,20201968
0,필름,필름,20205970
1,2D,디지털,20205970
0,2D,디지털,20201122
1,4D,4D,20201122
2,IMAX,IMAX,20201122
3,DOLBYCINEMA,DOLBYCINEMA,20201122
0,2D,디지털,20202281
1,2D,디지털 더빙,20202281
0,2D,디지털,20203461
0,2D,디지털,20196773
1,2D,디지털 영문자막,20196773
0,2D,디지털,20197032
1,2D,디지털 영문자막,20197032
0,2D,디지털,20193666
0,필름,필름,20112692
1,2D,디지털,20112692
0,2D,디지털,20202961
0,2D,디지털,20189973
0,2D,디지털,20205146
0,2D,디지털,20175405
1,4D,4D,20175405
0,2D,디지털,20201687
1,4D,4D,20201687
0,2D,디지털,20202203
0,2D,디지털,20199302
0,2D,디지털,20193822
1,3D,3D 디지털,20193822
2,4D,4D,20193822
3,IMAX,IMAX,20193822
4,IMAX,IMAX 3D,20193822
5,ScreenX,ScreenX,20193822
6,DOLBYCINEMA,DOLBYCINEMA,20193822
0,2D,디지털,20202103
0,2D,디지털,20205001
1,2D,디지털 영문자막,20205001
0,2D,디지털,20178401
0,2D,디지털,20190601
0,2D,디지털,20204684
0,2D,디지털,20202341
0,2D,디지털,20206178
1,2D,디지털 더빙,20206178
0,2D,디지털,20199816
1,2D,디지털 가치봄,20199816
0,2D,디지털,20184482
0,2D,디지털,20204008
1,4D,4D,20204008
